id,label
1,yes
2,yes
3,yes
4,yes
5,yes
6,yes
7,yes
8,yes
9,yes
10,yes
11,yes
12,yes
13,yes
14,yes
15,yes
16,yes
17,yes
18,yes
19,yes
20,yes
21,yes
22,yes
23,yes
24,yes
25,yes
26,yes
27,yes
28,yes
29,yes
30,yes
31,yes
32,yes
33,yes
34,yes
35,yes
36,yes
37,yes
38,yes
39,yes
40,yes
41,yes
42,yes
43,yes
44,yes
45,yes
46,yes
47,yes
48,yes
49,yes
50,yes
51,yes
52,yes
53,yes
54,yes
55,yes
56,yes
57,yes
58,yes
59,yes
60,yes
61,yes
62,yes
63,yes
64,yes
65,yes
66,yes
67,yes
68,yes
69,yes
70,yes
71,yes
72,yes
73,yes
74,yes
75,yes
76,yes
77,yes
78,yes
79,yes
80,yes
81,yes
82,yes
83,yes
84,yes
85,yes
86,yes
87,yes
88,yes
89,yes
90,yes
91,yes
92,yes
93,yes
94,yes
95,yes
96,yes
97,yes
98,yes
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,yes
106,yes
107,yes
108,yes
109,yes
110,yes
111,no
112,no
113,no
114,no
115,no
116,no
117,no
118,no
119,no
120,no
121,no
122,no
123,no
124,no
125,no
126,no
127,no
128,no
129,no
130,no
131,no
132,no
133,no
134,no
135,no
136,no
137,no
138,no
139,no
140,no
141,no
142,no
143,no
144,no
145,no
146,no
147,no
148,no
149,no
150,no
151,no
152,no
153,no
154,no
155,no
156,no
157,no
158,no
159,no
160,no
161,no
162,no
163,no
164,no
165,no
166,no
167,no
168,no
169,no
170,no
171,no
172,no
173,no
174,no
175,no
176,no
177,no
178,no
179,no
180,no
181,no
182,no
183,no
184,no
185,no
186,no
187,no
188,no
189,no
190,no
191,no
192,no
193,no
194,no
195,no
196,no
197,no
198,no
199,no
200,no
201,no
202,no
203,no
204,no
205,no
206,no
207,no
208,no
209,no
210,no
211,no
212,no
213,no
214,no
215,no
216,no
217,no
218,no
219,no
220,no
221,no
222,no
223,no
224,no
225,no
226,no
227,no
228,no
229,no
230,no
231,no
232,no
233,no
234,no
235,no
236,no
237,no
238,no
239,no
240,no
241,no
242,no
243,no
244,no
245,no
246,no
247,no
248,no
249,no
250,no
251,no
252,no
253,no
254,no
255,no
256,no
257,no
258,no
259,no
260,no
261,no
262,no
263,no
264,no
265,no
266,no
267,no
268,no
269,no
270,no
271,no
272,no
273,no
274,no
275,no
276,no
277,no
278,no
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,no
288,no
289,no
290,no
291,no
292,no
293,no
294,no
295,no
296,no
297,no
298,no
299,no
300,no
301,no
302,no
303,no
304,no
305,no
306,no
307,no
308,no
309,no
310,no
311,no
312,no
313,no
314,no
315,no
316,no
317,no
318,no
319,no
320,no
321,no
322,no
323,no
324,no
325,no
326,no
327,no
328,no
329,no
330,no
331,no
332,no
333,no
334,no
335,no
336,no
337,no
338,no
339,no
340,no
341,no
342,no
343,no
344,no
345,no
346,no
347,no
348,no
349,no
350,no
351,no
352,no
353,no
354,no
355,no
356,no
357,no
358,no
359,no
360,no
361,no
362,no
363,no
364,no
365,no
366,no
367,no
368,no
369,no
370,no
371,no
372,no
373,no
374,no
375,no
376,no
377,no
378,no
379,no
380,no
381,no
382,no
383,no
